doc_id,source,category,title,text,date
wiki_cash_flow,wikipedia,financial,Cash flow,"Cash flow, in general, refers to payments made into or out of a business, project, or financial product. It can also refer more specifically to a real or virtual movement of money.

Cash flow, in its narrow sense, is a payment (in a currency), especially from one central bank account to another. The term 'cash flow' is mostly used to describe payments that are expected to happen in the future, are thus uncertain, and therefore need to be forecast with cash flows.
A cash flow (CF) is determined by its time t, nominal amount N, currency CCY, and account A; symbolically, CF = CF(t, N, CCY, A).
Cash flows are narrowly interconnected with the concepts of value, interest rate, and liquidity. A cash flow that shall happen on a future day tN can be transformed into a cash flow of the same value in t0. This transformation process is known as discounting, and it takes into account the time value of money by adjusting the nominal amount of the cash flow on the basis of the prevailing interest rates at the time.


== Cash flow analysis ==
Cash flows are often transformed into measures that give information e.g. on a company's value and situation:

To determine a project's rate of return or value. The time of cash flows into and out of projects are used as inputs in financial models such as internal rate of return and net present value.
To determine problems with a business's liquidity. Being profitable does not necessarily mean being liquid. A company can fail because of a shortage of cash even while profitable.
As an alternative measure of a business's profits when it is believed that accrual accounting concepts do not represent economic realities. For instance, a company may be notionally profitable but generating little operational cash (as may be the case for a company that barters its products rather than selling for cash). In such a case, the company may be deriving additional operating cash by issuing shares or raising additional debt finance.
Cash flow can be used to evaluate the 'quality' of income generated by accrual accounting. When net income is composed of large non-cash items it is considered low quality.
To evaluate the risks within a financial product, e.g., matching cash requirements, evaluating default risk, re-investment requirements, etc.
Cash flow notion is based loosely on cash flow statement accounting standards. The term is flexible and can refer to time intervals spanning over past-future. It can refer to the total of all flows involved or a ",
pubmed_42105610,pubmed,medical,Ultra-processed food consumption and multiple sclerosis incidence: A prospective cohort study.,"Ultra-processed food consumption and multiple sclerosis incidence: A prospective cohort study.

Emerging evidence suggests an association between ultra-processed food (UPF) consumption and neurodegenerative diseases, but there is limited evidence for multiple sclerosis (MS). Diets rich in UPFs promote inflammation and oxidative stress that both play an important role in modulating the immune system, and thereby, potentially the pathogenesis of MS. This study aimed to investigate the longitudinal association between UPF consumption and MS onset in middle-aged and older adults.",2026
2605.15165v1,arxiv,scientific,Due Process on Hold: A Queueing Framework for Improving Access in SNAP,"Due Process on Hold: A Queueing Framework for Improving Access in SNAP

The U.S. social safety net delivers essential services at mass scale, but access burdens persist, as congested contact or call centers serve as a primary mode of application completion and assistance. In Holmes v. Knodell, Missouri's SNAP call centers were so congested that nearly half of all application denials were procedural, caused by applicants' inability to complete required interviews, rather than underlying ineligibility. The judge ruled these system failures led to a violation of procedural due process. We propose a performance evaluation framework based on queueing models from operations research and management to assess and improve access in such systems. Operational access failures of call centers are distinct from prior automation failures in benefits provision. Emergent arbitrariness arises from interactions between system dynamics and access demand, rather than from an explicit algorithmic rule, making diagnosis and repair inherently system-level. We develop a queueing model that incorporates phenomena that distinguish social services from standard service domains, redials and abandonment, through which backlogs generate endogenous congestion. Standard queueing guidance from Erlang-A that does not address endogenous congestion fundamentally understaffs, which could lead to persistent shortfalls in practice. Using a fluid approximation, we derive steady-state performance metrics to analytically characterize the impacts of bundled staffing and service delivery changes. We fit model parameters to call-center data disclosed in court documents. Our queueing model can support ex-ante evaluation and design of access systems, inform policy levers for improving access, and provide evidence about whether applicants are afforded a meaningful opportunity to be served at scale.",2026-05-14T17:54:43Z
wiki_financial_regulation,wikipedia,financial,Financial regulation,"Financial regulation is a broad set of policies that apply to the financial sector in most jurisdictions, justified by two main features of finance: systemic risk, which implies that the failure of financial firms involves public interest considerations; and information asymmetry, which justifies curbs on freedom of contract in selected areas of financial services, particularly those that involve retail clients and/or principal–agent problems. An integral part of financial regulation is the supervision of designated financial firms and markets by specialized authorities such as securities commissions and bank supervisors.
In some jurisdictions, certain aspects of financial supervision are delegated to self-regulatory organizations. Financial regulation forms one of three legal categories which constitutes the content of financial law, the other two being market practices and case law.


== History ==

Financial regulation has ancient roots, often evolving in response to economic crises or the need to standardize commerce. The Code of Hammurabi (c. 1700 BCE) contained standards for lending and the regulation of interest. In the Roman Empire, banking was expanded beyond temples into private and state roles. This led to the creation of distinct financial institutions subject to administrative oversight. During the medieval period, financial regulation in Europe was heavily influenced by religious restrictions on usury (the charging of interest), which shaped the development of early merchant banks in Italy.
In the early modern period, the Dutch were the pioneers in financial regulation. The first recorded ban (regulation) on short selling was enacted by the Dutch authorities as early as 1610.


== Aims of regulation ==
The objectives of financial regulators are usually:

market confidence – to maintain confidence in the financial system
financial stability – contributing to the protection and enhancement of stability of the financial system
consumer protection – securing the appropriate degree of protection for consumers.
reduce financial crime
regulate foreign participation


== Structure of supervision ==
Acts empower organizations, government or non-government, to monitor activities and enforce actions. There are various setups and combinations in place for the financial regulatory structure around the globe.


=== Securities market regulation ===

Exchange acts ensure that trading on the floor of exchanges is conducted in a proper manner. Most prominent t",
pubmed_42050640,pubmed,medical,"Epidemiological surveillance and risk stratification of diarrhoeagenic bacterial pathogens: a multi-centre hospital study in Lagos, Nigeria.","Epidemiological surveillance and risk stratification of diarrhoeagenic bacterial pathogens: a multi-centre hospital study in Lagos, Nigeria.

Diarrhoeal diseases remain a major global health concern, particularly in low- and middle-income countries, contributing significantly to morbidity and mortality among children under five. This study investigates the prevalence, demographic distribution, and bacterial pathogens associated with diarrhoeal illness in Lagos, Nigeria.",2026
wiki_2008_financial_crisis,wikipedia,financial,2008 financial crisis,"A major worldwide financial crisis centered in the United States took place in 2008.  The causes included excessive speculation on property values by both homeowners and financial institutions, leading to the 2000s United States housing bubble. This was exacerbated by predatory lending for subprime mortgages and by deficiencies in regulation. Cash out refinancings had fueled an increase in consumption that could no longer be sustained when home prices declined. The first phase of the crisis was the subprime mortgage crisis, which began in early 2007, as mortgage-backed securities (MBS) tied to U.S. real estate, and a vast web of derivatives linked to those MBS collapsed in value. A liquidity crisis spread to global institutions by mid-2007 and climaxed with the bankruptcy of Lehman Brothers in September 2008, which triggered a stock market crash and bank runs in several countries. The crisis exacerbated the Great Recession, a global recession that began in late-2007, as well as the United States bear market of 2007–2009. It was also a contributor to the 2008–2011 Icelandic financial crisis and the euro area crisis.
During the 1990s, the U.S. Congress had passed legislation that intended to expand affordable housing through looser financing rules, and in 1999, parts of the 1933 Banking Act (Glass–Steagall Act) were repealed, enabling institutions to mix low-risk operations, such as commercial banking and insurance, with higher-risk operations such as investment banking and proprietary trading. As the Federal Reserve (""Fed"") lowered the federal funds rate from 2000 to 2003, institutions increasingly targeted low-income homebuyers, largely belonging to racial minorities, with high-risk loans; this development went unattended by regulators. As interest rates rose from 2004 to 2006, the cost of mortgages rose and the demand for housing fell; in early 2007, as more U.S. subprime mortgage holders began defaulting on their repayments, lenders went bankrupt, culminating in the bankruptcy of New Century Financial in April. As demand and prices continued to fall, the financial contagion spread to global credit markets by August 2007, and central banks began injecting liquidity. In March 2008, Bear Stearns, the fifth-largest U.S. investment bank, was sold to JPMorgan Chase in a ""fire sale"" backed by Fed financing.
In response to the growing crisis, governments around the world deployed massive bailouts of financial institutions and used monetary policy and fiscal poli",
pubmed_41026252,pubmed,medical,Electrocardiogram heart rate variability for machine learning diagnosis of obstructive sleep Apnoea: A bayesian meta-analysis.,"Electrocardiogram heart rate variability for machine learning diagnosis of obstructive sleep Apnoea: A bayesian meta-analysis.

Obstructive sleep apnoea syndrome (OSA) is a common yet underdiagnosed condition associated with significant health risks. Although polysomnography is the diagnostic gold standard, it is resource-intensive and unsuitable for widespread screening. Heart rate variability (HRV) derived from electrocardiogram (ECG) recordings has emerged as a promising, accessible alternative for OSA detection. Recent developments in machine learning have enabled automated HRV analysis, potentially offering a scalable screening tool for OSA. This study aimed to evaluate the diagnostic accuracy of machine learning-based models trained on HRV for detecting OSA in adults.",2025
pubmed_39055237,pubmed,medical,Identification of risk groups for advanced liver fibrosis in the general population using the Fibrosis-3 index.,"Identification of risk groups for advanced liver fibrosis in the general population using the Fibrosis-3 index.

We conducted a study using the Fibrosis-3 (FIB-3) index, which is the established age-independent index of fibrosis in nonviral liver disease and addresses the limitations of the FIB-4 index in older age group, to assess the liver fibrosis risk among diverse demographic groups in the general population.",2024
pubmed_42105836,pubmed,medical,Inflammatory biomarkers of atherosclerosis in SLE that may improve SLE-specific cardiovascular risk assessment tools.,"Inflammatory biomarkers of atherosclerosis in SLE that may improve SLE-specific cardiovascular risk assessment tools.

Cardiovascular (CV) events (CVE) are a leading cause of morbidity and mortality in systemic lupus erythematosus (SLE), and affected patients display a two- to three-fold higher risk than the general population. This increased CV risk remains underestimated by traditional CV risk algorithms, which do not account for SLE-specific drivers of accelerated atherosclerosis. The aim of this review is to examine key biomarkers and immune-mediated pathways involved in immune dysregulation and vascular injury. By comparing their contribution to SLE pathogenesis and atherosclerotic plaque development, we have highlighted biomarkers that may be incorporated into more accurate, SLE-specific CV risk assessment tools.",2026
2605.15021v1,arxiv,scientific,Local maximum of inducibility profiles,"Local maximum of inducibility profiles

For a graph $G$ and $e\in [0,1]$, denote by $I_G(e)$ the supremum of densities of $G$ over $n$-vertex graphs with edge density $e$ as $n$ goes to infinity. Liu, Mubayi and Reiher asked if there exists a graph $G$, where $I_G(e)$ has a non-trivial local maximum. In this note we resolve their problem by showing that $I_{K_{2,2,1}}(e)$ has at least two local maxima in $(0,1)$. Additionally, we determine $I_{K_{2,2,1}}(e)$, when $e=(k-1)/k$ for every integer $k\ge 3.$",2026-05-14T16:21:33Z
2605.14516v1,arxiv,scientific,A Brownian dynamics study of liquid-liquid phase separation in multi-scale chromatin networks,"A Brownian dynamics study of liquid-liquid phase separation in multi-scale chromatin networks

In living cells, proteins involved in specialized biochemical functions are often spatially organized within biomolecular condensates. Increasing evidence suggests that some of these condensates, including DNA repair condensates, emerge through liquid-liquid phase separation (LLPS). In the nucleus, however, condensates form within a highly heterogeneous environment composed of chromatin fibers, RNA, and additional protein scaffolds such as PAR chains, all of which may interact with phase-separating proteins. Moreover, condensate formation is frequently associated with specific chromatin conformations; for instance, loop extrusion has been proposed as a mechanism promoting DNA repair condensates. Here, we investigate how the surrounding fibrous environment controls the morphology and spatial organization of phase-separated condensates. Using Brownian dynamics simulations of minimal models combining Lennard-Jones particles with fixed fibrous substrates, we examine the respective roles of local fiber geometry and large-scale network organization, reflecting the multiscale architecture of chromatin. We show that protein-fiber interactions strongly influence droplet positioning relative to the substrate, in a manner analogous to wetting transitions in soft condensed matter systems. Both local geometric constraints and global network organization markedly affect droplet size, morphology, and multiplicity. In addition, large-scale asymmetries in fiber organization can induce robust spatial localization of the dense phase. Our results thus highlight how multiscale structural heterogeneity of the nuclear environment can regulate the emergence and organization of biomolecular condensates.",2026-05-14T07:59:51Z
2605.14343v1,arxiv,scientific,Nearest-Neighbor Radii under Dependent Sampling,"Nearest-Neighbor Radii under Dependent Sampling

Nearest-neighbor methods are fundamental to classical and modern machine learning, yet their geometric properties are typically analyzed under independent sampling. In this paper, we study the nearest-neighbor radii under dependent sampling. We consider strong mixing dependent observations and ask whether dependence changes the scale of nearest-neighbor neighborhoods. We establish distribution-free almost sure convergence under polynomial mixing and sharp non-asymptotic moment bounds under geometric mixing. The moment bounds depend on the local intrinsic dimension rather than the ambient dimension, making the results applicable to high-dimensional data concentrated near lower-dimensional manifolds. Synthetic experiments and real-world time-series benchmarks support the theory, showing that nearest-neighbor geometry remains informative under dependence sampling.",2026-05-14T04:07:05Z
2605.15140v1,arxiv,scientific,Limitations of Debye-Waller lattice temperature extraction under electronic excitation,"Limitations of Debye-Waller lattice temperature extraction under electronic excitation

Ultrafast diffraction is the cutting-edge technique to extract the atomic temperature at femtosecond timescales, and further related quantities - in particular, electron-phonon coupling strength at elevated electronic temperatures. The present work demonstrates limitations of such an analysis, emphasizing the importance of careful evaluation of the evolution of the Debye temperature. It is shown that, due to the sensitivity of the Debye-Waller analysis to this parameter, neglecting its changes under electronic excitation may lead to significant deviations of the atomic temperature extracted from its true values.",2026-05-14T17:46:28Z
pubmed_42126249,pubmed,medical,Assessment of retinal neurodegeneration in metabolic syndrome and its vascular determinants.,"Assessment of retinal neurodegeneration in metabolic syndrome and its vascular determinants.

To evaluate retinal nerve fibre layer (RNFL) and ganglion cell complex (GCC) thickness in individuals with and without metabolic syndrome and examine associations with vascular risk factors.",2026
pubmed_41472725,pubmed,medical,Immunobiology of pulmonary fibrosis.,"Immunobiology of pulmonary fibrosis.

Pulmonary fibrosis, an interstitial lung disease, is characterized by progressive thickening and scarring of the lung tissue associated with shortness of breath, decreased vital capacity, and respiratory failure due to the inability to expand and contract the lungs during inspiration with severe morbidity and mortality. The median estimated survival is 2-5 years following diagnosis. Current understanding of how the disease initiates and progresses suggests a set of complex mechanisms involving genetic vulnerability, aging processes, and environmental factors. Mechanistically, the damage of the alveolar epithelial cells (AECs) (type I and type II), followed by recruitment of immune cells and transdifferentiation of fibroblast to myofibroblast play a crucial role in the initiation of a prolonged wound healing response in lungs which eventually leads to fibrosis if healing gets awry. Here, we have systematically reviewed the role of innate and adaptive immunity, as well as interactions of lung parenchyma cells together with the immune cells, cytokines, chemokines and other mediators in the context of pulmonary fibrosis. We have also discussed how the selection of pre-clinical models is important for understanding the disease and successful clinical trial outcome.",2025
pubmed_41960403,pubmed,medical,"Measuring the iceberg: complex lives, invisible metrics, and lived experience in social prescribing.","Measuring the iceberg: complex lives, invisible metrics, and lived experience in social prescribing.

Social prescribing has emerged as a prominent public health intervention in the UK and internationally, intended to address non-medical determinants of health and reduce pressure on healthcare systems. Despite its rapid expansion, the evidence base underpinning social prescribing remains contested. Dominant evaluation frameworks tend to prioritise quantitative indicators such as referral volumes, attendance rates, changes in standardised wellbeing scores, and short-term service utilisation. While these measures provide policymakers and commissioners with familiar forms of evidence, they often fail to capture the forms of change participants themselves describe as most meaningful.",2026
2605.14437v1,arxiv,scientific,Not All Who Wander Are Lost: Early Excess Demographics in the Volume-limited ZTF DR2 SN Ia Sample,"Not All Who Wander Are Lost: Early Excess Demographics in the Volume-limited ZTF DR2 SN Ia Sample

Early-time flux excesses in Type Ia supernovae (SNe~Ia) offer a unique insight into their progenitor systems and explosion mechanisms. Although individual early-excess events and larger searches have been reported, demographic studies remain limited by sample size. We present a systematic search for early-time excess emission in a volume-limited sample ($z<0.06$) of SNe~Ia based on the Zwicky Transient Facility Data Release 2 (ZTF DR2). Using ZTF $g$- and $r$-band light curves, we identify candidates showing early-excesses shortly after the explosion time, and we apply conservative coverage and quality requirements to build reliable ``excess'' and ``no-excess'' bump and no-bump catalogs. From an initial sample of 1547 SNe~Ia, our final catalogs contain 42 early-excess and 110 no-excess events. We compare the two populations using SN and host environment parameters from ZTF DR2 and quantify the differences using two-sample statistical tests. We find the strongest differences are in SN light-curve properties: early-excess events have larger SALT2 stretch $x_1$ ($7.91σ$) and larger $r$-band secondary-maximum flux $\mathcal{F}_{r_2}$ ($6.25σ$), while differences in SALT2 color $c$ are weak ($0.57σ$). Early-excess events also favor bluer $(g-z)_{\rm local}$ ($3.41σ$) and lower $\log_{10} (M_*/M_\odot)_{\rm local}$ ($2.73σ$). Our results connect early excesses with SNe~Ia diversity, and motivate further analyses of upcoming larger samples.",2026-05-14T06:32:51Z
2605.14767v1,arxiv,scientific,Optimizing strong light-matter coupling of plasmonic lattices and monolayer semiconductors,"Optimizing strong light-matter coupling of plasmonic lattices and monolayer semiconductors

Exciton-polaritons provide a versatile platform for the study of a wide range of phenomena, including polariton lasers, topological polaritons, and bosonic condensation. Transition metal dichalcogenide monolayers host excitons with large oscillator strength and binding energies constituting a robust matter constituent that forms polaritons from cryogenic to room temperature when embedded in optical microcavities. Plasmonic nanoparticles arranged in lattice geometries offer strong field-confinement and high quality factors. However, the high sensitivity of monolayer excitons to strain and dielectric disorder necessitates encapsulation in atomically flat hBN to ensure a high optical quality, rendering plasmonics more challenging. Here, we employ our recently developed fabrication method for embedding gold nanodisk arrays into van der Waals heterostructures and compare two samples with opposite layer order. We observe that strain and etching-induced surface contamination can reduce the exciton quality and thus the light-matter interaction strength significantly. Our fabrication approach reduces interfacial irregularities and enables homogeneous large-area polariton lattices for a wide range of applications, such as polarization-control or topological polaritonics.",2026-05-14T12:34:33Z
wiki_financial_statement,wikipedia,financial,Financial statement,"Financial statements (or financial reports) are formal records of the financial activities and position of a business, person, or other entity.
Relevant financial information is presented in a structured manner and in a form which is easy to understand. They typically include four basic financial statements accompanied by a management discussion and analysis:

A balance sheet reports on a company's assets, liabilities, and owners' equity at a given point in time.
An income statement reports on a company's income, expenses, and profits over a stated period. A profit and loss statement provides information on the operation of the enterprise. These include sales and the various expenses incurred during the stated period.
A statement of changes in equity reports on the changes in equity of the company over a stated period.
A cash flow statement reports on a company's cash flow activities, particularly its operating, investing, and financing activities over a stated period.
Notably, a balance sheet represents a snapshot in time, whereas the income statement, the statement of changes in equity, and the cash flow statement each represent activities over an accounting period. By understanding the key functional statements within the balance sheet, business owners and financial professionals can make informed decisions that drive growth and stability.


== Purpose of financial statements ==
""The objective of financial statements is to provide information about the financial position, performance and changes in financial position of an enterprise that is useful to a wide range of users in making economic decisions."" Financial statements should be understandable, relevant, reliable and comparable. Reported assets, liabilities, equity, income and expenses are directly related to an organization's financial position. 
Financial statements are intended to be understandable by readers who have ""a reasonable knowledge of business and economic activities and accounting and who are willing to study the information diligently.""  Financial statements may be used for different purposes:

Owners and managers require financial statements to make important business decisions that affect its continued operations. Financial analysis is then performed on these statements to provide management with a more detailed understanding of the figures. These statements are also used as part of management's annual report to the stockholders.
Employees also need these reports in making collecti",
2605.15133v1,arxiv,scientific,Causal Foundation Models with Continuous Treatments,"Causal Foundation Models with Continuous Treatments

Causal inference, estimating causal effects from observational data, is a fundamental tool in many disciplines. Of particular importance across a variety of domains is the continuous treatment setting, where the variable of intervention has a continuous range. This setting is far less explored and represents a substantial shift from the binary treatment setting, with models needing to represent effects across a continuum of treatment values. In this paper, we present the first causal foundation model for the continuous treatment setting. Our model meta-learns the ability to predict causal effects across a wide variety of unseen tasks without additional training or fine-tuning. First, we design a novel prior over data-generating processes with continuous treatment variables in order to generate a rich causal training corpus. We then train a transformer to reconstruct individual treatment-response curves given only observational data, leveraging in-context learning to amortize expensive Bayesian posterior inference. Our model achieves state-of-the-art performance on individual treatment-response curve reconstruction tasks compared to causal models which are trained specifically for those tasks.",2026-05-14T17:40:28Z
wiki_bank,wikipedia,financial,Bank,"A bank is a financial institution that accepts deposits from the public and creates a demand deposit while making loans. Lending activities can be directly performed by the bank or indirectly through capital markets.
Banks play an important role in financial stability and the economy of a country, so most countries exercise a high degree of regulation over banks. Most countries have institutionalized a system known as fractional-reserve banking, under which banks hold liquid assets equal to only a portion of their current liabilities. In addition to other regulations intended to ensure liquidity, banks are generally subject to minimum capital requirements based on an international set of capital standards, the Basel Accords.
Banking in its modern sense evolved in the fourteenth century in the prosperous cities of Renaissance Italy but, in many ways, functioned as a continuation of ideas and concepts of credit and lending that have their roots in the ancient world. In the history of banking, a number of banking dynasties –  notably, the Medicis, the Pazzi, the Fuggers, the Welsers, the Berenbergs, and the Rothschilds –  have played a central role over many centuries. The oldest existing retail bank is Banca Monte dei Paschi di Siena (founded in 1472), while the oldest existing merchant bank is Berenberg Bank (founded in 1590).
A banker is a person who engages in the business of banking.


== Activities ==


=== Standard business ===

Banks act as payment agents by conducting checking or current accounts for customers, paying checks drawn by customers in the bank, and collecting checks deposited to customers' current accounts. Banks also enable customer payments via other payment methods such as Automated Clearing House (ACH), Wire transfers or telegraphic transfer, EFTPOS, and automated teller machines (ATMs).
Banks borrow money by accepting funds deposited on current accounts, by accepting term deposits, and by issuing debt securities such as banknotes and bonds. Banks lend money by making advances to customers on current accounts, by making installment loans, and by investing in marketable debt securities and other forms of money lending.
Banks provide different payment services, and a bank account is considered indispensable by most businesses and individuals. Nonbanks that provide payment services such as remittance companies are normally not considered as an adequate substitute for a bank account.
Banks issue new money when they make loans. In contempo",
wiki_european_union_merger_law,wikipedia,legal,European Union merger law,"European Union merger law is a part of the law of the European Union. It is charged with regulating mergers between two or more entities in a corporate structure. This institution has jurisdiction over concentrations that might or might not impede competition. Although mergers must comply with policies and regulations set by the commission; certain mergers are exempt if they promote consumer welfare. Mergers that fail to comply with the common market may be blocked. It is part of competition law and is designed to ensure that firms do not acquire such a degree of market power on the free market so as to harm the interests of consumers, the economy and society as a whole. Specifically, the level of control may lead to higher prices, less innovation and production.
Mergers and acquisitions are regulated by competition laws because they may concentrate economic power in the hands of a smaller number of parties. Oversight by the European Union, the competition laws have been enacted under the Directive 2005/56/EC on Cross-border mergers and the Economic Concentration Regulation 139/2004, known as the ""EUMR"". The law requires that firms proposing to merge apply for prior approval from the Commission. The European Commission (EC) has exclusive competence over concentrations that meet certain thresholds. This is known as community dimension. A concentration with a turnover of the following will trigger commission jurisdiction. Mergers that transcend national borders and with an annual turnover of the combined business exceeds a worldwide turnover of over EUR 5000 million and Community-wide turnover of over EUR 250 million must notify and be examined by the European Commission. Merger regulation thus involves predicting potential market conditions which would pertain after the merger. The standard set by the law is whether a combination would ""significantly impede effective competition... in particular as a result of the creation or strengthening of a dominant position...""
One reason why businesses may be motivated to merge is in order to reduce the transaction costs of negotiating bilateral contracts. Another is to take advantage of increased economies of scale. However, increased market share and size may also increase market power, strengthening the negotiating position of the business. This is good for the firm, but can be bad for competitors and downstream entities (such as distributors or consumers). A monopoly is the most extreme case, where prices might be",
2605.15037v1,arxiv,scientific,Sphericalization and the Universal Spherical Adjunction,"Sphericalization and the Universal Spherical Adjunction

For every adjunction of stable $\infty$-categories -- or more generally, in any locally stable $(\infty,2)$-category -- we give a simple procedure for inverting the twist and cotwist functors associated to this adjunction. As a consequence, we obtain an explicit construction for a left and right adjoint to the inclusion of the $(\infty,2)$-category of spherical adjunctions of stable $\infty$-categories into all adjunctions. We utilize these adjoints to give a description of the walking spherical adjunction, a locally stable $(\infty,2)$-category which classifies spherical adjunctions, and to provide a synthetic proof of the fact that every spherical functor admits infinitely many left and right adjoints.",2026-05-14T16:30:52Z
pubmed_42136293,pubmed,medical,Targeted Nanotechnology Approaches to Bypass the Blood-brain Barrier in Neurodegenerative Disorders.,"Targeted Nanotechnology Approaches to Bypass the Blood-brain Barrier in Neurodegenerative Disorders.

Neurodegenerative diseases like Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral Sclerosis (ALS), and Huntington's disease (HD) are a growing health burden across the world because of the progressive loss of brain cells and the ineffective nature of the available treatment. One significant challenge in the treatment of these conditions is the Blood- -Brain Barrier (BBB), a highly selective interface that limits the access of most therapeutic molecules to the central nervous system. Nanotechnology has become an attractive approach to addressing this difficulty, as it enables the delivery of drugs with high accuracy and actively engages in the repair of the BBB. This review provides an overall synthesis of focused nanotechnology solutions aimed at both circumventing and restoring BBB function in neurodegenerative illnesses. It discusses various nanoparticle (NP) platforms such as polymeric, lipid-based, micellar, metallic, and carbon-derived systems in the light of their physicochemical aspects, transport across the BBB, and therapeutic efficacy. Particular emphasis is put on the receptor-mediated transcytosis, neurovascular unit modulations, and the regulation of Wnt, Shh, and Tie-2 signalling pathways, which are BBB integrity pathways. The review incorporates mechanisms of BBB repair in combination with neuroprotective nanotherapies, rather than focusing solely on end repair. This review covers the role of targeted nanotechnology in the future of therapeutic approaches for neurodegenerative diseases. By connecting materials science, molecular neuroscience, and clinical innovation, it demonstrates how next-generation brain-targeted therapies can be developed using targeted nanotechnology.",2026
pubmed_42136282,pubmed,medical,Development and Assessment of Phytoconstituents-based Nanoemulsion as a Potent Combined Therapy for Neuroprotection in Scopolamine-induced Alzheimer's Disease Rat Model.,"Development and Assessment of Phytoconstituents-based Nanoemulsion as a Potent Combined Therapy for Neuroprotection in Scopolamine-induced Alzheimer's Disease Rat Model.

Nanoemulsions are increasingly recognized as effective carriers for delivering neuroprotective agents in the management of neurodegenerative conditions like Alzheimer's disease. Alzheimer's Disease (AD) is a chronic and progressive neurological disorder marked by memory impairment, cognitive dysfunction, oxidative damage, and degeneration of neurons. This study focuses on designing and evaluating a nanoemulsion-based drug delivery system combining Resveratrol and Ginkgo biloba to investigate their potential neuroprotective effects in a scopolamine- induced Alzheimer's model in Wistar rats.",2026
2605.12286v1,arxiv,scientific,Set-Aggregated Genome Embeddings for Microbiome Abundance Prediction,"Set-Aggregated Genome Embeddings for Microbiome Abundance Prediction

Microbiome functions are encoded within the genes of the community-wide metagenome. A natural question is whether properties of a microbial community can be predicted just from knowing the raw DNA sequences of its members. In this work, we employ set-aggregated genome embeddings (SAGE) to predict community-level abundance profiles, exploiting the few-shot learning capabilities of genomic language models (GLMs). We benchmark this approach to show improved generalization on novel genomes compared to classical bioinformatics approaches. Model ablation shows that community-level latent representations directly result in improved performance. Lastly, we demonstrate the benefits of intermediate transformations between latent representations and demonstrate the differences between GLM embedding choices.",2026-05-12T15:44:29Z
pubmed_42087379,pubmed,medical,Phytocomponents Derived From Naturally Growing Chamaedorea seifrizii as Novel α-Amylase Inhibitors for Diabetes Management: In Vitro and In Silico Approach.,"Phytocomponents Derived From Naturally Growing Chamaedorea seifrizii as Novel α-Amylase Inhibitors for Diabetes Management: In Vitro and In Silico Approach.

Blocking the enzyme alpha-amylase is a promising approach for treating Type 2 diabetes. Although they have been employed as blood-sugar reducers, medicinal phytocompounds have limited ability to inhibit α-amylase. The bamboo plant Chamaedorea seifrizii is mostly used for its esthetic qualities and air-purifying capabilities. Further study is necessary because there are not many studies on this plant's phytochemical composition and anti-α-amylase capability. Therefore, this study's goal was chemical profiling, followed by an in vitro experiment to assess the anti-α-amylase capability of C. seifrizii's flowers and fruits, and an in silico docking of important bioactive chemicals against α-amylase. The bioactive ingredients in C. seifrizii auxiliary inflorescence acetone extract (CIAE) and C. seifrizii fruit acetone extract (CFAE) were identified using GC-FID. The web program Cb-dock2 was utilized for docking. Additionally, two-dimensional interactions between ligands and the target enzyme were examined. After molecular docking, molecular dynamics (MD) simulations, and molecular mechanics Poisson-Boltzmann surface area (MM-PBSA) computations were performed. The PASS prediction of every ligand and the in silico ADMET pharmacoinformatic perspective were evaluated. The α-amylase inhibition assay was used for wet lab validation. A total of 17 (in CIAE) and 21 (in CFAE) phytocomponents were identified by GC-FID. Major phytocompounds were phenethyl cinnamate (45%) in CIAE and nezukol in (10%) CFAE along with other minor components, such as resveratrol, hinokione, butylated hydroxyanisole, sandaracopimarinol (CFAE), larixol, taxodione, methyl pentanoate, and cedrene epoxide (CIAE). Docking analysis showed that every ligand from CIAE and CFAE effectively bound to the enzyme but with varied affinity. Sandaracopimarinol from CIAE and taxodione from CFAE were detected as best docked compounds with vina score ranging from 8.9 to 8.3, respectively. The stability of docked complexes was further confirmed by the post-MD analysis of the best docked structure, as seen by the root mean square deviation (RMSD) and radius of gyration (R",2026
2605.14319v1,arxiv,scientific,Approximate Macroscopic Dynamics of Spiking Neural Networks Based on Solutions to the Transport Equation,"Approximate Macroscopic Dynamics of Spiking Neural Networks Based on Solutions to the Transport Equation

Firing rate fluctuations in neural populations are observed experimentally over multiple time scales, in single neurons, across trials when elicited by stimuli, and across populations. In this work, we examine how firing rate fluctuations emerge in networks of coupled integrate-and-fire neurons as a function of the initial distribution of voltages in networks with time-varying inputs. We analytically derive an approximation for the evolution of the instantaneous population rate or flux as a function of the initial voltage distribution through a Fokker-Planck system. Unlike earlier mean field approaches based on asynchronous or constant flux steady state solutions to the Fokker-Planck system, the approach considered here is based on the transport solution to the advection equation and assumes that the time-varying inputs are slow, and the neurons are in the excitation-driven regime. The transport mean field system predicts how firing rate fluctuations emerge from a dynamic interaction between time-varying inputs, initial densities, and coupling in populations of neurons.",2026-05-14T03:30:32Z
